"","Sample.ID","Family.Unique","Block.ID","HabitatType","Region","Population","Dist.from.cg.km","Germination.Y.N","Survival.Y.N","Survival.Y.N.2017","Flower.Y.N.2016","Flower.Y.N.2017","No.Flowers.2016","Total.Flowers.2017","Fruit.Y.N.2016","Fruit.Y.N.2017","No.Fruit.2016","No.Fruit.2017","sm","sm.2","Survival.Y.N.2018","Flowering.Y.N.2018","Total.Flowers.2018","Fruit.Y.N.2018","No.Fruit.2018","seedmass.2018.g.","Surv2017","Surv2018","sm.3","sm2017","sm2018","row","BLOCK.POS","Family.NonUnique","Replicate","Collector","Collection.Date","Position","Letter.Pos","No.Position","Bench","Planting.Date","Germination.Date","No.Days.to.Germ","True.Leaf","No.Days.to.TrueLeaf","Germ.to.TrueLeaf","DTFF.2016","no.Planting.to.DTFF","No.Days.Germ.to.Flr","No.Days.TL.to.Flr","Seedmass.2016","Flowering.4.2.17.Y.N","DTFF.2017","DTFF.Ordinal.Day.2017","norm.flower.date.2017","Date.to.Bolt.2017","DtB.O.Day.2017","norm.bolt.date.2017","Date.to.Fruit.2017","Fruit.O.Day.2017","norm.fruit.date.2017","Seedmass.2017","Total.N.R.2017","DTFF.2018","DTFF.18.Oday","DtB.2018","DtB.Oday.2018","Date.to.Fruit.2018","Date.to.Fruit.Oday.2018","Non.reproductive.flowers","Latitude","Longitude","Elevation.m","n.fruit.envelopes","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","Eref","CMD","MAR","RH"
"643","CAR-PSR.14.6","CAR-PSR_14",6,"Alvar","GL_alvar","CAR-PSR",1366.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670,"6-I11",14,6,"Jill_Hamilton","7/7/2015","I11","I",11,2,"11/7/2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,44.64526,-79.09458,250,40,5.8,19.3,-8.8,28.1,899,393,17.6,49,875,1913,4558,156,169,138,273,135,249,-35.2,35.6,692,183,13.5,63
"644","CAR-PSR.14.7","CAR-PSR_14",7,"Alvar","GL_alvar","CAR-PSR",1366.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633,"7-I2",14,7,"Jill_Hamilton","7/7/2015","I2","I",2,2,"11/7/2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,44.64526,-79.09458,250,40,5.8,19.3,-8.8,28.1,899,393,17.6,49,875,1913,4558,156,169,138,273,135,249,-35.2,35.6,692,183,13.5,63
"645","CAR-PSR.14.8","CAR-PSR_14",8,"Alvar","GL_alvar","CAR-PSR",1366.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,"8-H15",14,8,"Jill_Hamilton","7/7/2015","H15","H",15,2,"11/7/2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,44.64526,-79.09458,250,40,5.8,19.3,-8.8,28.1,899,393,17.6,49,875,1913,4558,156,169,138,273,135,249,-35.2,35.6,692,183,13.5,63
"646","CAR-PSR.14.9","CAR-PSR_14",9,"Alvar","GL_alvar","CAR-PSR",1366.181,1,1,1,1,1,15,41,1,1,2,36,34,4101,1,1,18,1,17,2.731,1,1,2731,4135,6866,656,"9-J16",14,9,"Jill_Hamilton","7/7/2015","J16","J",16,3,"11/7/2015","11/15/2015",8,"11/23/2015",16,8,"7/20/2016",256,248,240,0.034,"1","4/2/2017",91,1,"4/16/2017",106,16,"5/15/2017",135,45,4.101,5,"4/23/2018",113,"4/30/2018",120,"5/20/2018",140,1,44.64526,-79.09458,250,40,5.8,19.3,-8.8,28.1,899,393,17.6,49,875,1913,4558,156,169,138,273,135,249,-35.2,35.6,692,183,13.5,63
"647","CAR-PSR.20.1","CAR-PSR_20",1,"Alvar","GL_alvar","CAR-PSR",1366.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,"1-A3",20,1,"Jill_Hamilton","7/7/2015","A3","A",3,1,"11/7/2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,44.64526,-79.09458,250,40,5.8,19.3,-8.8,28.1,899,393,17.6,49,875,1913,4558,156,169,138,273,135,249,-35.2,35.6,692,183,13.5,63
"648","CAR-PSR.20.10","CAR-PSR_20",10,"Alvar","GL_alvar","CAR-PSR",1366.181,1,1,1,1,1,4,4,0,1,0,2,0,250,1,1,5,1,5,0.6234,1,1,623,250,873,614,"10-M7",20,10,"Jill_Hamilton","7/7/2015","M7","M",7,3,"11/7/2015","11/19/2015",12,"11/26/2015",19,7,"8/6/2016",273,261,254,0,"1","4/2/2017",91,1,"4/16/2017",106,16,"6/2/2017",153,63,0.25,2,"4/19/2018",109,"4/30/2018",120,"5/18/2018",138,0,44.64526,-79.09458,250,40,5.8,19.3,-8.8,28.1,899,393,17.6,49,875,1913,4558,156,169,138,273,135,249,-35.2,35.6,692,183,13.5,63
"649","CAR-PSR.20.11","CAR-PSR_20",11,"Alvar","GL_alvar","CAR-PSR",1366.181,1,1,1,0,1,0,7,0,1,0,7,0,396,1,1,1,0,0,0,1,1,0,396,396,640,"11-M6",20,11,"Jill_Hamilton","7/7/2015","M6","M",6,3,"11/7/2015","11/17/2015",10,"11/24/2015",17,7,NA,NA,NA,NA,0,"0","4/5/2017",95,5,"4/16/2017",106,16,"5/23/2017",143,53,0.396,0,"4/26/2018",116,NA,NA,NA,NA,1,44.64526,-79.09458,250,40,5.8,19.3,-8.8,28.1,899,393,17.6,49,875,1913,4558,156,169,138,273,135,249,-35.2,35.6,692,183,13.5,63
"650","CAR-PSR.20.12","CAR-PSR_20",12,"Alvar","GL_alvar","CAR-PSR",1366.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694,"12-C2",20,12,"Jill_Hamilton","7/7/2015","C2","C",2,3,"11/7/2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,44.64526,-79.09458,250,40,5.8,19.3,-8.8,28.1,899,393,17.6,49,875,1913,4558,156,169,138,273,135,249,-35.2,35.6,692,183,13.5,63
"651","CAR-PSR.20.2","CAR-PSR_20",2,"Alvar","GL_alvar","CAR-PSR",1366.181,1,1,1,0,1,0,10,0,1,0,7,0,584,1,1,6,1,4,0.3891,1,1,389,584,973,638,"2-L11",20,2,"Jill_Hamilton","7/7/2015","L11","L",11,1,"11/7/2015","11/16/2015",9,"11/23/2015",16,7,NA,NA,NA,NA,0,"1","4/2/2017",91,1,"4/19/2017",109,19,"5/17/2017",137,47,0.584,3,"4/12/2018",102,"5/7/2018",127,"5/19/2018",139,2,44.64526,-79.09458,250,40,5.8,19.3,-8.8,28.1,899,393,17.6,49,875,1913,4558,156,169,138,273,135,249,-35.2,35.6,692,183,13.5,63
"652","CAR-PSR.20.3","CAR-PSR_20",3,"Alvar","GL_alvar","CAR-PSR",1366.181,1,1,1,0,1,0,14,0,1,0,7,0,273,1,1,16,1,15,0.7074,1,1,707,273,980,651,"3-J16",20,3,"Jill_Hamilton","7/7/2015","J16","J",16,1,"11/7/2015","11/19/2015",12,"11/25/2015",18,6,NA,NA,NA,NA,0,"1","4/2/2017",91,1,"4/23/2017",113,23,"5/19/2017",139,49,0.273,7,"4/16/2018",106,"5/10/2018",130,"5/19/2018",139,1,44.64526,-79.09458,250,40,5.8,19.3,-8.8,28.1,899,393,17.6,49,875,1913,4558,156,169,138,273,135,249,-35.2,35.6,692,183,13.5,63
"653","CAR-PSR.20.4","CAR-PSR_20",4,"Alvar","GL_alvar","CAR-PSR",1366.181,1,1,1,1,1,13,12,1,1,6,9,124,1117,1,1,4,1,3,0.3925,1,1,392,1241,1633,643,"4-G15",20,4,"Jill_Hamilton","7/7/2015","G15","G",15,1,"11/7/2015","11/17/2015",10,"11/24/2015",17,7,"5/26/2016",201,191,184,0.124,"1","4/2/2017",91,1,"4/19/2017",109,19,"5/29/2017",149,59,1.117,3,"4/12/2018",102,"5/14/2018",134,"5/23/2018",143,1,44.64526,-79.09458,250,40,5.8,19.3,-8.8,28.1,899,393,17.6,49,875,1913,4558,156,169,138,273,135,249,-35.2,35.6,692,183,13.5,63
"654","CAR-PSR.20.5","CAR-PSR_20",5,"Alvar","GL_alvar","CAR-PSR",1366.181,1,1,1,1,1,8,10,1,1,4,8,25,570,1,1,1,0,0,0,1,1,0,595,595,689,"5-G14",20,5,"Jill_Hamilton","7/7/2015","G14","G",14,2,"11/7/2015","11/16/2015",9,"11/23/2015",16,7,"6/4/2016",210,201,194,0.025,"1","4/2/2017",91,1,"4/16/2017",106,16,"5/26/2017",146,56,0.57,2,"4/26/2018",116,NA,NA,NA,NA,1,44.64526,-79.09458,250,40,5.8,19.3,-8.8,28.1,899,393,17.6,49,875,1913,4558,156,169,138,273,135,249,-35.2,35.6,692,183,13.5,63
"655","CAR-PSR.20.6","CAR-PSR_20",6,"Alvar","GL_alvar","CAR-PSR",1366.181,1,1,1,1,1,11,9,1,0,1,0,25,0,1,1,2,0,0,0,1,1,0,25,25,619,"6-I12",20,6,"Jill_Hamilton","7/7/2015","I12","I",12,2,"11/7/2015","11/20/2015",13,"11/27/2015",20,7,"8/9/2016",276,263,256,0.025,"1","4/2/2017",91,1,"4/19/2017",109,19,NA,NA,NA,0,9,"4/23/2018",113,"5/14/2018",134,NA,NA,2,44.64526,-79.09458,250,40,5.8,19.3,-8.8,28.1,899,393,17.6,49,875,1913,4558,156,169,138,273,135,249,-35.2,35.6,692,183,13.5,63
"656","CAR-PSR.20.7","CAR-PSR_20",7,"Alvar","GL_alvar","CAR-PSR",1366.181,1,1,1,1,1,29,34,1,1,3,23,0,3048,1,1,4,1,3,0.3102,1,1,310,3048,3358,666,"7-J14",20,7,"Jill_Hamilton","7/7/2015","J14","J",14,2,"11/7/2015","11/18/2015",11,"11/24/2015",17,6,"5/31/2016",206,195,189,0,"1","4/2/2017",91,1,"4/19/2017",109,19,"5/15/2017",135,45,3.048,11,"4/12/2018",102,"5/7/2018",127,"5/17/2018",137,1,44.64526,-79.09458,250,40,5.8,19.3,-8.8,28.1,899,393,17.6,49,875,1913,4558,156,169,138,273,135,249,-35.2,35.6,692,183,13.5,63
